data_rilevazione,data_aggiornamento_sito,id_pagina,istituto,posti_regolamentari,posti_non_disponibili,totale_detenuti
2026-07-13,12/07/2026,MII152284,Genova Marassi,535,0,658
2026-07-13,12/07/2026,MII157783,Alba,138,89,42
2026-07-13,12/07/2026,MII158895,Milano San Vittore,702,218,1089
2026-07-13,12/07/2026,MII158901,Belluno,86,4,104
2026-07-13,12/07/2026,MII158910,Agrigento,283,19,376
2026-07-13,12/07/2026,MII158919,"Alessandria Cantiello, Gaeta",233,0,257
2026-07-13,12/07/2026,MII158924,Alessandria San Michele,269,216,44
2026-07-13,12/07/2026,MII158935,Alghero,156,0,147
2026-07-13,12/07/2026,MII158941,Ancona Montacuto,256,1,340
2026-07-13,12/07/2026,MII158944,Ancona Barcaglione,100,0,79
2026-07-13,12/07/2026,MII158945,Arbus,176,50,120
2026-07-13,12/07/2026,MII158948,Arezzo,108,86,42
2026-07-13,12/07/2026,MII159053,Ariano Irpino,263,47,304
2026-07-13,12/07/2026,MII159060,Arienzo,58,1,71
2026-07-13,12/07/2026,MII159065,Ascoli Piceno,103,0,158
2026-07-13,12/07/2026,MII159069,Asti,205,4,275
2026-07-13,12/07/2026,MII159314,Augusta,364,97,468
2026-07-13,12/07/2026,MII160204,Benevento,259,12,373
2026-07-13,12/07/2026,MII169535,Rieti,295,6,509
2026-07-13,12/07/2026,MII172011,Avellino,503,29,669
2026-07-13,12/07/2026,MII172187,Aversa,234,0,301
2026-07-13,12/07/2026,MII172208,Civitavecchia Nuovo Complesso,358,11,632
2026-07-13,12/07/2026,MII172222,Barcellona Pozzo di Gotto,387,121,237
2026-07-13,12/07/2026,MII172277,Altamura,52,3,93
2026-07-13,12/07/2026,MII172320,Busto Arsizio,240,20,437
2026-07-13,12/07/2026,MII172332,Biella,392,0,585
2026-07-13,12/07/2026,MII172344,Bollate,1267,0,1612
2026-07-13,12/07/2026,MII172508,Bologna,505,34,830
2026-07-13,12/07/2026,MII172580,Bolzano,88,0,112
2026-07-13,12/07/2026,MII172592,Brescia Canton Monbello,182,1,375
2026-07-13,12/07/2026,MII172610,Brescia Verziano,71,0,125
2026-07-13,12/07/2026,MII172623,Brindisi,152,0,274
2026-07-13,12/07/2026,MII172814,Brissogne - Aosta,181,4,147
